frame,class,x1,y1,x2,y2,confidence,side,X_m,Y_m
0,person,533.7254,686.3998,579.3201,784.5262,0.8626,right,74.89211739311479,15.16936923438479
0,person,851.9286,634.3026,901.017,722.508,0.8573,right,79.78813460664537,16.0884796184414
0,person,994.6577,454.4098,1027.5846,525.7167,0.8546,right,88.29597658699433,25.192208691583478
0,person,1369.0548,814.1021,1444.1683,903.6414,0.8426,right,79.24580006895106,6.5568827397916705
0,person,1570.5789,610.6716,1614.1005,696.1235,0.8392,right,87.43528263094066,13.538284942316357
0,person,1309.2797,445.3984,1351.7587,517.6505,0.8314,right,92.01623452744117,23.594929369752975
0,person,359.1696,720.3539,394.5005,825.0251,0.8311,right,72.09402483214514,14.444619206941601
0,person,872.3297,362.0067,905.3227,422.5176,0.8062,right,91.60306822962993,32.54950443093064
0,person,326.4586,495.4453,364.1342,570.0192,0.7943,right,79.19992205337955,27.104848430046548
0,person,1276.7467,393.0129,1308.4247,463.8371,0.7864,right,94.19357118723393,27.07355811214643
0,person,222.2053,513.5491,256.0267,595.1774,0.7824,right,77.2003786493563,26.49304074660537
0,person,127.9198,970.6769,168.299,1079.4891,0.7763,right,64.49257069649302,6.030414857295178
0,person,1228.432,432.1042,1264.1536,501.7365,0.7712,right,91.83006153642317,25.010574085534802
0,person,591.1612,589.1539,631.5229,672.9655,0.7647,right,78.65562231686056,19.852018296661473
0,person,1850.2113,807.9705,1894.1899,920.6158,0.758,right,82.94359777383767,4.565148694357679
0,person,375.3304,306.068,400.7169,366.3661,0.7555,right,88.47439188700582,41.395163713398
0,person,1157.8722,356.2539,1187.4165,412.3698,0.7395,right,95.20308642236317,30.902017994009995
0,person,775.2947,416.3584,805.8869,492.403,0.7214,right,87.4834701401809,28.98529556967699
0,person,1123.6646,707.4123,1178.2966,793.1924,0.6238,right,80.13580832507765,11.644785429543933
0,person,776.6098,368.0706,802.8701,426.4672,0.6187,right,90.20748462986819,32.9727425027952
0,sports ball,1186.3846,849.4204,1204.6278,866.3518,0.6069,right,77.45903076300846,7.447062885801713
0,person,1033.3108,931.2722,1075.2504,1053.709,0.5019,right,72.97441881747454,3.6594942881469312
0,person,1151.0299,728.4727,1198.936,796.4489,0.495,right,79.98630614736292,11.052055232626893
1,person,533.6316,686.4365,579.2705,784.4839,0.8643,right,74.89148363130904,15.16985927341342
1,person,851.9351,634.1569,901.0394,722.5317,0.8568,right,79.79025367924814,16.091207742207942
1,person,994.6437,454.4214,1027.6481,525.7515,0.852,right,88.29521680816433,25.190647898951486
1,person,1369.0568,814.1215,1444.1633,903.6363,0.8427,right,79.24559053596016,6.556648301195909
