frame,x1,y1,x2,y2,confidence
0,533.7254,686.3998,579.3201,784.5262,0.8626
0,851.9286,634.3026,901.017,722.508,0.8573
0,776.6098,368.0706,802.8701,426.4672,0.6187
0,994.6577,454.4098,1027.5846,525.7167,0.8546
0,1033.3108,931.2722,1075.2504,1053.709,0.5019
0,1151.0299,728.4727,1198.936,796.4489,0.495
0,1186.3846,849.4204,1204.6278,866.3518,0.6069
0,1123.6646,707.4123,1178.2966,793.1924,0.6238
0,775.2947,416.3584,805.8869,492.403,0.7214
0,1157.8722,356.2539,1187.4165,412.3698,0.7395
0,375.3304,306.068,400.7169,366.3661,0.7555
0,1850.2113,807.9705,1894.1899,920.6158,0.758
0,591.1612,589.1539,631.5229,672.9655,0.7647
0,1228.432,432.1042,1264.1536,501.7365,0.7712
0,127.9198,970.6769,168.299,1079.4891,0.7763
0,222.2053,513.5491,256.0267,595.1774,0.7824
0,359.1696,720.3539,394.5005,825.0251,0.8311
0,1276.7467,393.0129,1308.4247,463.8371,0.7864
0,872.3297,362.0067,905.3227,422.5176,0.8062
0,326.4586,495.4453,364.1342,570.0192,0.7943
0,1570.5789,610.6716,1614.1005,696.1235,0.8392
0,1309.2797,445.3984,1351.7587,517.6505,0.8314
0,1369.0548,814.1021,1444.1683,903.6414,0.8426
1,994.6437,454.4214,1027.6481,525.7515,0.852
1,533.6316,686.4365,579.2705,784.4839,0.8643
1,775.222,416.4857,805.7922,492.3484,0.7169
1,1157.9642,356.2255,1187.3988,412.3432,0.7353
1,872.3088,362.0194,905.3077,422.5215,0.8059
1,359.162,720.4056,394.4987,825.0319,0.8309
1,851.9351,634.1569,901.0394,722.5317,0.8568
1,326.4726,495.3363,364.1439,570.0075,0.7937
1,222.1838,513.3112,256.0189,595.1781,0.7818
1,1850.0527,808.0115,1894.1998,920.4902,0.7592
1,591.0994,589.0695,631.5176,672.9591,0.7651
1,1228.4814,432.1544,1264.1669,501.7386,0.7698
1,1123.6688,707.411,1178.2731,793.2124,0.6227
1,1033.4393,931.5905,1075.2247,1052.2332,0.4539
1,1309.3292,444.9961,1351.7079,517.6307,0.8306
1,1369.0568,814.1215,1444.1633,903.6363,0.8427
1,1276.7509,393.066,1308.4103,463.8164,0.7875
1,127.8812,970.6912,168.2781,1079.4738,0.7774
1,1151.1256,728.4542,1198.748,796.4349,0.4955
1,1186.3608,849.4365,1204.5959,866.3232,0.6006
1,375.3384,306.073,400.7633,366.3679,0.7537
1,1570.6619,610.6459,1614.1648,696.1201,0.8389
1,776.3842,367.5857,802.8856,426.7323,0.6361
2,1850.6375,808.2713,1893.7859,920.3198,0.7666
2,127.6791,970.5439,168.3571,1079.5481,0.7796
2,1575.3417,613.5024,1617.4006,695.6506,0.84
2,359.3653,723.8785,397.7364,825.9278,0.845
2,1369.1654,814.968,1439.8386,903.8113,0.8432
2,997.2647,454.2801,1028.5779,525.9489,0.8403
2,596.3033,590.6827,637.3519,672.7304,0.8167
2,327.6583,494.3023,365.5999,569.6064,0.818
2,1309.3661,447.196,1354.7067,517.4041,0.8313
2,1280.1471,394.2538,1309.7424,463.1975,0.8047
2,861.2421,638.1306,905.3718,724.8593,0.7996
2,1229.3309,431.2097,1266.8058,501.4374,0.7874
2,873.8423,361.157,905.8397,422.733,0.7953
2,1165.0756,356.2482,1189.9922,412.1514,0.7078
2,775.6124,417.3488,805.7772,492.3203,0.7175
2,375.0157,306.0342,400.6277,366.436,0.7491
2,535.4803,687.6166,580.0,786.0651,0.8572
2,222.9438,513.4641,256.8102,594.3732,0.7871
2,1157.6965,722.5707,1205.1282,796.8505,0.565
2,1037.0302,930.5892,1076.2815,1009.6805,0.5972
2,776.0081,367.7451,802.322,427.2785,0.6506
2,1123.8524,706.858,1181.0421,792.8365,0.5304
3,1199.9478,858.9657,1215.2155,873.631,0.5701
3,601.1574,590.6027,639.4415,672.1128,0.8048
3,331.2648,494.2836,365.9301,569.4813,0.8221
3,870.5579,641.2607,909.7322,723.9904,0.7759
3,1311.0356,449.3062,1357.5038,517.0631,0.7711
3,1280.5298,394.4716,1312.7142,462.1168,0.772
3,1373.0431,816.1978,1430.1199,905.4604,0.7791
3,775.336,368.0065,802.1789,427.3922,0.6643
3,358.9829,724.6945,397.877,829.4908,0.848
3,536.6774,688.5511,579.5332,785.5569,0.8763
3,997.1465,455.3242,1030.8256,526.8018,0.8427
3,1579.853,612.694,1619.9432,701.335,0.8379
3,374.6072,306.2542,400.5175,367.603,0.7593
3,1123.7279,706.4592,1188.7421,793.3546,0.7354
3,775.4825,417.3207,805.9752,493.4109,0.714
3,1162.4982,726.9608,1209.0762,796.9968,0.6717
3,223.8994,514.2409,257.7227,594.9205,0.7969
3,1231.4911,431.6715,1269.0579,501.4465,0.7841
3,878.6157,360.4087,907.3168,422.3687,0.8031
3,127.5933,970.6317,168.1993,1079.5233,0.7803
3,1038.071,930.7316,1077.7906,1007.3502,0.6022
3,1850.208,807.7543,1893.533,920.3892,0.7533
3,1170.3334,354.7098,1194.0463,411.2581,0.7348
4,774.806,422.1808,805.8968,495.3297,0.7064
4,1158.3436,728.4822,1210.4601,796.5707,0.5753
4,1097.5944,306.6304,1118.9177,360.372,0.6461
4,774.6086,369.0182,800.84,429.3366,0.6899
4,1233.5109,433.075,1269.4866,501.3591,0.7758
4,1584.2124,614.6241,1622.3767,707.3889,0.8316
4,1000.1816,455.5789,1031.115,528.2933,0.8348
4,536.3725,688.5899,580.0104,786.0141,0.8599
4,357.8226,726.0778,397.3671,831.7205,0.8635
4,1123.9377,707.4091,1197.4041,793.5397,0.7243
4,691.598,994.242,734.6661,1078.2167,0.4578
4,882.4779,359.2882,908.3053,422.3989,0.7738
4,1039.5485,930.1296,1077.9237,1006.9061,0.6431
4,1850.4291,807.8364,1892.6627,920.6647,0.7557
4,373.8008,306.5841,399.3637,366.7091,0.7461
4,1169.5382,355.0239,1197.1381,412.2278,0.7591
4,224.3283,515.1135,257.7337,594.7968,0.8089
4,1371.0938,816.5175,1419.0935,906.2761,0.8084
4,880.623,641.4998,916.1125,723.5744,0.8019
4,126.7946,970.5947,167.4253,1079.7068,0.7925
4,1204.7626,862.8608,1220.6045,879.0294,0.5615
4,1280.6647,393.9651,1315.6591,463.9201,0.7755
4,603.3206,589.6541,643.281,672.7301,0.8122
4,1313.361,448.3593,1359.9467,516.9758,0.8091
4,332.7195,493.6989,366.0488,569.1828,0.8189
5,1281.4255,395.8773,1317.261,465.1749,0.7929
5,336.3212,494.0397,366.4917,569.5236,0.7988
5,886.9233,358.7088,910.7173,422.8895,0.7841
5,1237.2588,433.4191,1271.3842,501.295,0.8161
5,1040.8738,929.9262,1081.036,1007.9855,0.5983
5,1165.9347,726.9529,1215.2084,796.7838,0.4575
5,890.4786,639.8049,923.0697,723.7526,0.8282
5,608.3809,590.7858,646.1841,675.071,0.8432
5,1131.1816,706.9126,1209.0944,789.4717,0.601
5,1001.1949,457.7057,1031.2789,528.1578,0.8441
5,357.8389,729.7747,397.2874,834.2463,0.8701
5,537.9752,688.8826,578.688,786.0707,0.8726
5,774.9086,423.1719,805.9523,496.067,0.6663
5,1851.4589,808.1737,1892.4467,918.5949,0.7672
5,1170.9789,353.882,1200.3224,414.2312,0.7557
5,1364.6763,820.24,1408.3578,907.1503,0.7352
5,1324.9303,447.9424,1364.3448,517.559,0.7274
5,373.0052,306.3189,398.7203,367.1027,0.7088
